id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1066,12399.47,triangle,0.4733,27.75,12480.47,0.653230,1,77,86.44
1067,66309.34,square,0.6834,21.23,66459.96,0.227153,1,12,17.57
1068,81558.61,triangle,0.6839,39.09,81586.91,0.034703,1,20,21.77
1069,15991.80,square,0.6416,31.63,16059.57,0.423787,1,62,86.52
1070,40744.72,square,0.2141,27.83,40771.48,0.065697,1,27,38.25
1071,17103.42,triangle,0.2879,21.17,17187.50,0.491594,1,41,40.44
1072,55684.25,square,0.8847,31.54,55751.95,0.121588,1,15,17.62
1073,35202.60,triangle,0.5863,21.59,35273.44,0.201215,1,17,19.23
1074,57019.21,triangle,0.4567,25.93,57041.02,0.038251,1,7,5.97
1075,15203.48,sine,0.4895,31.91,15336.91,0.877680,1,12,11.42
1076,8980.93,triangle,0.7796,31.73,9057.62,0.853944,1,96,92.07
1077,83015.43,sine,0.5292,32.60,83022.46,0.008471,1,14,13.14
1078,83036.64,triangle,0.3494,38.82,83071.29,0.041730,1,40,37.42
1079,13310.24,triangle,0.9738,23.54,13403.32,0.699326,1,56,49.57
1080,72484.54,sine,0.4649,30.33,72509.77,0.034801,1,31,27.37
1081,58483.88,triangle,0.7050,29.63,58535.16,0.087680,1,37,36.56
1082,81157.83,triangle,0.1199,39.65,81240.23,0.101538,1,7,7.58
1083,9527.08,triangle,0.3523,22.64,9604.49,0.812530,1,80,84.00
1084,44545.71,square,0.4429,21.09,44692.38,0.329267,1,22,30.91
1085,60346.65,triangle,0.4449,24.33,60366.21,0.032410,1,44,35.12
1086,44815.16,sine,0.8384,36.53,44824.22,0.020220,1,21,23.78
1087,59212.05,square,0.8198,31.09,59301.76,0.151510,1,14,19.84
1088,82767.30,square,0.8060,31.97,82783.20,0.019216,1,15,22.48
1089,41999.97,triangle,0.5870,32.10,42114.26,0.272124,1,16,16.97
1090,22828.28,square,0.6144,23.70,22851.56,0.102006,1,1,1.86
1091,6899.12,square,0.7873,30.47,7006.84,1.561261,1,74,85.50
1092,23450.49,square,0.1721,28.84,23510.74,0.256934,1,40,53.83
1093,17173.31,sine,0.2821,27.73,17241.21,0.395392,1,40,36.44
1094,6063.87,square,0.5605,29.67,6176.76,1.861640,1,108,112.01
1095,38895.63,triangle,0.2308,30.11,38969.73,0.190511,1,14,16.48
1096,7142.10,sine,0.6165,31.32,7250.98,1.524430,1,64,64.47
1097,87925.32,square,0.9638,20.97,87988.28,0.071610,1,21,33.25
1098,10702.76,sine,0.2667,30.83,10800.78,0.915843,1,45,46.67
1099,64911.65,sine,0.9514,36.84,65039.06,0.196292,1,1,0.90
1100,30364.64,sine,0.2529,22.54,30429.69,0.214235,1,33,33.95
1101,13205.09,square,0.3213,27.16,13315.43,0.835553,1,58,71.82
1102,98961.03,triangle,0.9541,22.85,99082.03,0.122274,1,5,5.13
1103,38831.81,square,0.1691,20.08,38969.73,0.355169,1,14,20.76
1104,67373.00,square,0.4697,29.79,67412.11,0.058050,1,7,11.29
1105,42128.86,sine,0.4018,23.54,42236.33,0.255101,1,15,15.36
1106,10743.99,triangle,0.6394,34.57,10834.96,0.846670,1,44,47.74
1107,32221.01,square,0.3132,21.94,32285.16,0.199080,1,13,18.22
1108,18724.13,triangle,0.7098,30.94,18852.54,0.685783,1,10,8.47
1109,48033.90,triangle,0.1655,25.61,48144.53,0.230325,1,21,17.67
1110,35643.85,triangle,0.9933,24.81,35683.59,0.111509,1,13,12.17
1111,87556.43,triangle,0.3022,27.99,87656.25,0.114011,1,9,7.99
1112,41557.61,triangle,0.2628,35.98,41625.98,0.164501,1,20,19.69
1113,34085.08,triangle,0.4780,31.57,34145.51,0.177289,1,28,30.16
1114,83428.57,triangle,0.8798,21.19,83500.98,0.086794,1,12,12.62
1115,69513.00,sine,0.4742,30.97,69536.13,0.033272,1,58,44.81
1116,40871.21,square,0.9969,22.70,40893.55,0.054673,1,26,35.86
1117,67870.15,square,0.2197,23.17,67983.40,0.166863,1,4,6.30
1118,94978.04,triangle,0.9163,39.83,95068.36,0.095098,1,7,7.35
1119,21623.22,square,0.7023,29.68,21708.98,0.396614,1,19,26.27
1120,42420.56,square,0.6344,31.51,42480.47,0.141217,1,13,18.90
1121,16984.33,square,0.5981,31.41,17080.08,0.563770,1,43,51.75
1122,21800.61,triangle,0.1227,27.10,21899.41,0.453207,1,16,16.49
1123,78241.05,square,0.3350,33.90,78256.84,0.020173,1,20,59.55
1124,57171.70,triangle,0.7615,32.20,57202.15,0.053252,1,6,8.93
1125,49329.59,sine,0.3352,28.38,49418.95,0.181140,1,12,15.42
1126,60330.63,square,0.3594,20.13,60341.80,0.018510,1,27,51.12
1127,50127.68,sine,0.7611,20.48,50253.91,0.251804,1,29,37.42
1128,58897.95,triangle,0.2570,29.43,58959.96,0.105280,1,16,23.60
1129,10050.78,square,0.5955,28.15,10151.37,1.000818,1,64,109.88
1130,52616.33,triangle,0.2767,20.45,52675.78,0.112999,1,13,16.23
1131,86304.82,square,0.9016,31.94,86411.13,0.123179,1,14,50.50
1132,81205.95,square,0.7749,38.26,81240.23,0.042222,1,7,12.06
1133,57640.17,sine,0.3419,23.97,57685.55,0.078718,1,3,3.51
1134,25438.85,sine,0.5996,31.76,25561.52,0.482246,1,12,33.90
1135,43223.47,square,0.1734,21.76,43334.96,0.257929,1,6,10.32
1136,18011.12,square,0.2926,25.67,18100.59,0.496745,1,24,76.52
1137,40630.97,triangle,0.1125,32.99,40649.41,0.045392,1,28,68.81
1138,67218.78,triangle,0.9395,20.40,67221.68,0.004319,1,8,44.37
1139,16224.59,triangle,0.5127,31.29,16328.12,0.638156,1,57,133.23
1140,66639.69,triangle,0.9386,39.94,66650.39,0.016053,1,11,14.62
1141,72295.59,sine,0.8918,20.98,72363.28,0.093633,1,101,125.04
1142,23877.00,triangle,0.3306,24.41,23950.20,0.306533,1,34,38.60
1143,14674.40,triangle,0.5501,33.50,14765.62,0.621633,1,25,27.13
1144,24667.57,triangle,0.7840,26.25,24755.86,0.357909,1,23,25.26
1145,41657.58,sine,0.9789,32.91,41748.05,0.217166,1,19,21.78
1146,93519.84,sine,0.8037,35.32,93627.93,0.115575,1,36,40.17
1147,69473.91,triangle,0.4542,22.61,69497.07,0.033337,1,30,34.13
1148,67499.18,triangle,0.6176,24.14,67602.54,0.153131,1,6,7.19
1149,50941.14,sine,0.4847,32.90,50976.56,0.069540,1,1,1.22
1150,74776.26,sine,0.4648,25.38,74814.45,0.051077,1,35,39.62
1151,20664.53,triangle,0.9183,27.40,20756.84,0.446689,1,34,39.34
1152,75376.61,triangle,0.8615,23.66,75375.98,0.000845,1,2,2.72
1153,95672.90,square,0.4053,21.25,95683.59,0.011181,1,77,112.74
1154,49131.19,sine,0.3237,26.34,49135.74,0.009262,1,14,16.00
1155,81073.81,triangle,0.3722,37.17,81108.40,0.042668,1,22,21.79
1156,85865.86,triangle,0.2320,33.81,85893.55,0.032250,1,2,2.57
1157,94557.38,triangle,0.3985,30.01,94628.91,0.075641,1,21,19.58
1158,64926.78,square,0.2080,26.24,65039.06,0.172938,1,1,1.23
1159,80437.21,triangle,0.2236,39.05,80551.76,0.142410,1,10,12.97
1160,33553.44,square,0.7766,36.24,33632.81,0.236558,1,33,51.08
1161,94629.22,sine,0.8727,22.63,94716.80,0.092547,1,43,41.92
1162,70799.05,triangle,0.7100,25.05,70869.14,0.099000,1,7,8.94
1163,87431.27,sine,0.1483,34.35,87470.70,0.045100,1,23,24.42
1164,48072.10,triangle,0.4451,23.37,48144.53,0.150681,1,21,25.10
1165,83807.78,square,0.2703,34.41,83920.90,0.134977,1,24,32.80
1166,51600.25,square,0.5148,36.57,51723.63,0.239112,1,40,52.07
