id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1000,7353.62,square,0.5769,23.23,7470.70,1.592150,1,55,70.65
1001,11867.92,triangle,0.7841,23.08,11962.89,0.800215,1,11,13.04
1002,3835.74,sine,0.4250,28.17,3999.02,4.256897,1,88,81.69
1003,13914.25,sine,0.1312,27.84,14018.55,0.749646,1,42,40.67
1004,14246.11,sine,0.6774,25.20,14370.12,0.870462,1,34,32.42
1005,17835.64,triangle,0.3676,24.60,17939.45,0.582077,1,27,24.99
1006,8814.78,sine,0.7051,36.52,8886.72,0.816167,1,101,92.67
1007,13788.75,triangle,0.4573,23.13,13886.72,0.710494,1,45,38.12
1008,15021.07,square,0.7041,25.41,15117.19,0.639898,1,17,24.03
1009,2543.36,triangle,0.2406,39.77,2563.48,0.790823,1,186,150.03
1010,19568.32,triangle,0.6935,31.56,19677.73,0.559147,1,51,51.02
1011,17455.93,sine,0.5209,32.39,17563.48,0.616107,1,34,35.08
1012,8812.62,square,0.3973,31.28,8920.90,1.228686,1,100,108.54
1013,17160.92,sine,0.9410,33.78,17241.21,0.467894,1,40,43.94
1014,16642.19,square,0.8016,20.32,16757.81,0.694749,1,49,60.49
1015,16549.23,sine,0.9009,39.84,16650.39,0.611283,1,51,50.32
1016,6587.28,sine,0.7888,25.06,6689.45,1.551040,1,87,71.87
1017,17445.69,sine,0.2134,39.58,17563.48,0.675189,1,34,27.76
1018,13802.94,triangle,0.3919,33.53,13886.72,0.606970,1,45,48.60
1019,12290.59,square,0.7143,31.51,12304.69,0.114663,1,1,1.41
1020,9152.19,sine,0.7917,24.53,9262.70,1.207474,1,90,81.10
1021,14154.73,sine,0.6628,34.94,14282.23,0.900722,1,36,30.25
1022,5155.56,sine,0.2179,32.12,5273.44,2.286338,1,1,1.49
1023,17139.48,sine,0.7607,26.83,17241.21,0.593537,1,40,37.29
1024,10092.04,triangle,0.3988,29.31,10185.55,0.926551,1,63,67.20
1025,1259.97,sine,0.3327,20.56,,,0,260,174.70
1026,12996.13,square,0.5933,23.49,13095.70,0.766166,1,63,69.87
1027,6622.71,square,0.9688,21.01,6738.28,1.745097,1,85,97.58
1028,17917.30,square,0.6075,30.01,18046.88,0.723172,1,25,27.27
1029,2318.49,sine,0.6408,26.82,2416.99,4.248656,1,196,144.58
1030,18428.09,square,0.2290,34.29,18530.27,0.554480,1,16,22.80
1031,6573.72,square,0.7280,38.01,6689.45,1.760620,1,87,97.60
1032,16051.63,triangle,0.7117,38.92,16113.28,0.384064,1,61,50.38
1033,6620.66,sine,0.3448,24.36,6713.87,1.407856,1,86,87.68
1034,13574.86,square,0.6341,20.32,13666.99,0.678719,1,50,117.51
1035,14846.78,sine,0.6986,31.13,14941.41,0.637331,1,21,30.78
1036,7511.89,sine,0.1850,36.63,7641.60,1.726783,1,48,84.47
1037,18449.55,square,0.1931,28.04,18583.98,0.728641,1,15,38.57
1038,14849.84,triangle,0.2064,20.00,14941.41,0.616582,1,21,53.31
1039,14530.60,square,0.3290,20.26,14633.79,0.710123,1,28,115.78
1040,11265.69,triangle,0.9619,31.31,11381.84,1.030982,1,28,101.74
1041,10774.77,sine,0.5940,27.60,10903.32,1.193113,1,42,110.86
1042,12535.57,square,0.3163,21.90,12612.30,0.612133,1,74,70.16
1043,6983.45,sine,0.2592,39.75,7104.49,1.733266,1,70,59.30
1044,9437.97,square,0.8863,39.91,9536.13,1.040110,1,82,87.22
1045,12071.57,triangle,0.3942,26.11,12202.15,1.081664,1,4,4.61
1046,8651.37,triangle,0.7140,26.30,8764.65,1.309362,1,2,2.39
1047,3530.99,square,0.2155,31.57,3706.05,4.957992,1,108,110.44
1048,14175.02,triangle,0.7781,37.46,14282.23,0.756303,1,36,39.87
1049,10499.22,triangle,0.6573,23.73,10595.70,0.918947,1,51,57.41
1050,1488.10,sine,0.4987,32.34,1552.73,4.343188,1,255,171.61
1051,17149.23,sine,0.2130,39.27,17241.21,0.536372,1,40,38.42
1052,3052.85,square,0.6270,30.83,3208.01,5.082508,1,142,132.39
1053,2634.61,sine,0.1949,31.71,2753.91,4.528003,1,173,132.47
1054,11342.55,sine,0.6740,36.40,11450.20,0.949014,1,26,27.28
1055,1790.00,square,0.7204,25.05,1875.00,4.748589,1,233,177.41
1056,6847.65,square,0.9081,36.20,6958.01,1.611657,1,76,77.41
1057,12079.47,triangle,0.4283,32.82,12202.15,1.015560,1,4,3.67
1058,9857.45,sine,0.7316,31.13,9946.29,0.901235,1,70,63.72
1059,7813.81,triangle,0.1188,26.32,7910.16,1.233025,1,37,40.26
1060,2080.75,triangle,0.7319,26.63,2094.73,0.671874,1,218,154.10
1061,13837.60,square,0.7806,29.08,13930.66,0.672580,1,44,55.00
1062,8833.31,triangle,0.3258,22.41,8920.90,0.991515,1,100,94.48
1063,12106.32,triangle,0.4401,21.24,12236.33,1.073893,1,3,3.41
1064,7446.80,square,0.2457,33.16,7568.36,1.632370,1,51,62.66
1065,19957.24,square,0.4193,28.01,20058.59,0.507863,1,45,59.01
1066,3187.78,triangle,0.4733,27.75,3208.01,0.634625,1,142,128.30
1067,13534.12,square,0.6834,21.23,13623.05,0.657093,1,51,58.97
1068,16460.74,triangle,0.6839,39.09,16542.97,0.499523,1,53,55.68
1069,3877.21,square,0.6416,31.63,4072.27,5.030717,1,83,85.50
